Idade,Insatisfacao,viagensNegocio,Diária,Departamento,DistanciadeCasa,Educacao,CampoEducacao,NumerodoFuncionario,SatisfacaoAmbiente,Genero,HorasTrabalhadas,EnvovimentoTrabalho,NivelnoTrabalho,Cargo,SatisfacaoTrabalho,StatusCivil,Renda Mensal,Taxa mensal,EmpresasTrabalhadas,Hora Extra,TaxaPerformance,SatisfacaoRelacionamento,HorasPadrao,NivelRemuneracaoVariavel,TempoTotalTrabalho,TempoTreinamentoAnosAnteriores,EquilibrioVidaTrabalho,AnosEmpresa,AnosMesmaPosicao,AnosDesdeUltimaPromocao,AnosMesmoGestor,teste aula
22,Nao,nao-viaja,1123,P & D,16,2,Medicina,22,4,Masculino,96,4,1,Tecnico de Laboratorio,4,Divorciado,2935,7324,1,Sim,3,2,80,2,1,2,2,1,0,0,0,18
53,Nao,viaja-raramente,1219,Vendas,2,4,Ciencias Sociais,23,1,Feminino,78,2,4,Gestor,4,Casado,15427,22021,2,Não,3,3,80,0,31,3,3,25,8,3,7,19
38,Nao,viaja-raramente,371,P & D,2,3,Ciencias Sociais,24,4,Masculino,45,3,1,Pesquisador,4,Solteiro,3944,4306,5,Sim,3,3,80,0,6,3,3,3,2,1,2,20
24,Nao,nao-viaja,673,P & D,11,2,Outros,26,1,Feminino,96,4,2,Diretor de Manufatura,3,Divorciado,4011,8232,0,Não,3,4,80,1,5,5,2,4,2,1,3,21
36,Sim,viaja-raramente,1218,Vendas,9,4,Ciencias Sociais,27,3,Masculino,82,2,1,Representante de Vendas,1,Solteiro,3407,6986,7,Não,4,2,80,0,10,4,3,5,3,0,3,22
34,Nao,viaja-raramente,419,P & D,7,4,Ciencias Sociais,28,1,Feminino,53,3,3,Diretor de Pesquisa,2,Solteiro,11994,21293,0,Não,3,3,80,0,13,4,3,12,6,2,11,23
21,Nao,viaja-raramente,391,P & D,15,2,Ciencias Sociais,30,3,Masculino,96,3,1,Pesquisador,4,Solteiro,1232,19281,1,Não,3,4,80,0,0,6,3,0,0,0,0,24
34,Sim,viaja-raramente,699,P & D,6,1,Medicina,31,2,Masculino,83,3,1,Pesquisador,1,Solteiro,2960,17102,2,Não,3,3,80,0,8,2,3,4,2,1,3,25
53,Nao,viaja-raramente,1282,P & D,5,3,Outros,32,3,Feminino,58,3,5,Gestor,3,Divorciado,19094,10735,4,Não,3,4,80,1,26,3,2,14,13,4,8,26
32,Sim,viaja-frequentemente,1125,P & D,16,1,Ciencias Sociais,33,2,Feminino,72,1,1,Pesquisador,1,Solteiro,3919,4681,1,Sim,4,2,80,0,10,5,3,10,2,6,7,27
42,Nao,viaja-raramente,691,Vendas,8,4,Marketing,35,3,Masculino,48,3,2,Executivo de Vendas,2,Casado,6825,21173,0,Não,3,4,80,1,10,2,3,9,7,4,2,28
44,Nao,viaja-raramente,477,P & D,7,4,Medicina,36,1,Feminino,42,2,3,Representante da Saude,4,Casado,10248,2094,3,Não,3,4,80,1,24,4,3,22,6,5,17,29
46,Nao,viaja-raramente,705,Vendas,2,4,Marketing,38,2,Feminino,83,3,5,Gestor,1,Solteiro,18947,22822,3,Não,3,4,80,0,22,2,2,2,2,2,1,30
33,Nao,viaja-raramente,924,P & D,2,3,Medicina,39,3,Masculino,78,3,1,Tecnico de Laboratorio,4,Solteiro,2496,6670,4,Não,3,4,80,0,7,3,3,1,1,0,0,31
44,Nao,viaja-raramente,1459,P & D,10,4,Outros,40,4,Masculino,41,3,2,Representante da Saude,4,Casado,6465,19121,2,Sim,3,4,80,0,9,5,4,4,2,1,3,32
30,Nao,viaja-raramente,125,P & D,9,2,Medicina,41,4,Masculino,83,2,1,Tecnico de Laboratorio,3,Solteiro,2206,16117,1,Não,3,1,80,0,10,5,3,10,0,1,8,33
39,Sim,viaja-raramente,895,Vendas,5,3,Formacao Tecnica,42,4,Masculino,56,3,2,Representante de Vendas,4,Casado,2086,3335,3,Não,3,3,80,1,19,6,4,1,0,0,0,34
24,Sim,viaja-raramente,813,P & D,1,3,Medicina,45,2,Masculino,61,3,1,Pesquisador,4,Casado,2293,3020,2,Sim,3,1,80,1,6,2,2,2,0,2,0,35
43,Nao,viaja-raramente,1273,P & D,2,2,Medicina,46,4,Feminino,72,4,1,Pesquisador,3,Divorciado,2645,21923,1,Não,3,4,80,2,6,3,2,5,3,1,4,36
50,Sim,viaja-raramente,869,Vendas,3,2,Marketing,47,1,Masculino,86,2,1,Representante de Vendas,3,Casado,2683,3810,1,Sim,3,3,80,0,3,2,3,3,2,0,2,37
35,Nao,viaja-raramente,890,Vendas,2,3,Marketing,49,4,Feminino,97,3,1,Representante de Vendas,4,Casado,2014,9687,1,Não,3,1,80,0,2,3,3,2,2,2,2,38
36,Nao,viaja-raramente,852,P & D,5,4,Ciencias Sociais,51,2,Feminino,82,2,1,Pesquisador,1,Casado,3419,13072,9,Sim,3,4,80,1,6,3,4,1,1,0,0,39
33,Nao,viaja-frequentemente,1141,Vendas,1,3,Ciencias Sociais,52,3,Feminino,42,4,2,Executivo de Vendas,1,Casado,5376,3193,2,Não,3,1,80,2,10,3,3,5,3,1,3,40
35,Nao,viaja-raramente,464,P & D,4,2,Outros,53,3,Masculino,75,3,1,Tecnico de Laboratorio,4,Divorciado,1951,10910,1,Não,3,3,80,1,1,3,3,1,0,0,0,41
27,Nao,viaja-raramente,1240,P & D,2,4,Ciencias Sociais,54,4,Feminino,33,3,1,Tecnico de Laboratorio,1,Divorciado,2341,19715,1,Não,3,4,80,1,1,6,3,1,0,0,0,42
26,Sim,viaja-raramente,1357,P & D,25,3,Ciencias Sociais,55,1,Masculino,48,1,1,Tecnico de Laboratorio,3,Solteiro,2293,10558,1,Não,3,3,80,0,1,2,2,1,0,0,1,43
27,Nao,viaja-frequentemente,994,Vendas,8,3,Ciencias Sociais,56,4,Masculino,37,3,3,Executivo de Vendas,3,Solteiro,8726,2975,1,Não,3,4,80,0,9,0,3,9,8,1,7,44
30,Nao,viaja-frequentemente,721,P & D,1,2,Medicina,57,3,Feminino,58,3,2,Tecnico de Laboratorio,4,Solteiro,4011,10781,1,Não,4,4,80,0,12,2,3,12,8,3,7,45
41,Sim,viaja-raramente,1360,P & D,12,3,Formacao Tecnica,58,2,Feminino,49,3,5,Diretor de Pesquisa,3,Casado,19545,16280,1,Não,3,4,80,0,23,0,3,22,15,15,8,46
34,Nao,nao-viaja,1065,Vendas,23,4,Marketing,60,2,Masculino,72,3,2,Executivo de Vendas,3,Solteiro,4568,10034,0,Não,4,3,80,0,10,2,3,9,5,8,7,47
37,Nao,viaja-raramente,408,P & D,19,2,Ciencias Sociais,61,2,Masculino,73,3,1,Pesquisador,2,Casado,3022,10227,4,Não,4,1,80,0,8,1,3,1,0,0,0,48
46,Nao,viaja-frequentemente,1211,Vendas,5,4,Marketing,62,1,Masculino,98,3,2,Executivo de Vendas,4,Solteiro,5772,20445,4,Sim,4,3,80,0,14,4,3,9,6,0,8,49
35,Nao,viaja-raramente,1229,P & D,8,1,Ciencias Sociais,63,4,Masculino,36,4,1,Tecnico de Laboratorio,4,Casado,2269,4892,1,Não,3,4,80,0,1,2,3,1,0,0,1,50
48,Sim,viaja-raramente,626,P & D,1,2,Ciencias Sociais,64,1,Masculino,98,2,3,Tecnico de Laboratorio,3,Solteiro,5381,19294,9,Sim,3,4,80,0,23,2,3,1,0,0,0,51
28,Sim,viaja-raramente,1434,P & D,5,4,Formacao Tecnica,65,3,Masculino,50,3,1,Tecnico de Laboratorio,3,Solteiro,3441,11179,1,Sim,3,3,80,0,2,3,2,2,2,2,2,52
44,Nao,viaja-raramente,1488,Vendas,1,5,Marketing,68,2,Feminino,75,3,2,Executivo de Vendas,1,Divorciado,5454,4009,5,Sim,4,3,80,1,9,2,2,4,3,1,3,53
35,Nao,nao-viaja,1097,P & D,11,2,Medicina,70,3,Masculino,79,2,3,Representante da Saude,1,Casado,9884,8302,2,Sim,3,3,80,1,10,3,3,4,0,2,3,54
26,Nao,viaja-raramente,1443,Vendas,23,3,Marketing,72,3,Feminino,47,2,2,Executivo de Vendas,4,Casado,4157,21436,7,Sim,3,3,80,1,5,2,2,2,2,0,0,55
33,Nao,viaja-frequentemente,515,P & D,1,2,Ciencias Sociais,73,1,Feminino,98,3,3,Diretor de Pesquisa,4,Solteiro,13458,15146,1,Sim,3,3,80,0,15,1,3,15,14,8,12,56
35,Nao,viaja-frequentemente,853,Vendas,18,5,Ciencias Sociais,74,2,Masculino,71,3,3,Executivo de Vendas,1,Casado,9069,11031,1,Não,4,4,80,1,9,3,2,9,8,1,8,57
35,Nao,viaja-raramente,1142,P & D,23,4,Medicina,75,3,Feminino,30,3,1,Tecnico de Laboratorio,1,Casado,4014,16002,3,Sim,3,3,80,1,4,3,3,2,2,2,2,58
31,Nao,viaja-raramente,655,P & D,7,4,Ciencias Sociais,76,4,Masculino,48,3,2,Tecnico de Laboratorio,4,Divorciado,5915,9528,3,Não,4,4,80,1,10,3,2,7,7,1,7,59
37,Nao,viaja-raramente,1115,P & D,1,4,Ciencias Sociais,77,1,Masculino,51,2,2,Diretor de Manufatura,3,Divorciado,5993,2689,1,Não,3,3,80,1,7,2,4,7,5,0,7,60
32,Nao,viaja-raramente,427,P & D,1,3,Medicina,78,1,Masculino,33,3,2,Diretor de Manufatura,4,Casado,6162,10877,1,Sim,4,2,80,1,9,3,3,9,8,7,8,61
38,Nao,viaja-frequentemente,653,P & D,29,5,Ciencias Sociais,79,4,Feminino,50,3,2,Tecnico de Laboratorio,4,Solteiro,2406,5456,1,Não,3,4,80,0,10,2,3,10,3,9,9,62
50,Nao,viaja-raramente,989,P & D,7,2,Medicina,80,2,Feminino,43,2,5,Diretor de Pesquisa,3,Divorciado,18740,16701,5,Sim,3,4,80,1,29,2,2,27,3,13,8,63
59,Nao,viaja-raramente,1435,Vendas,25,3,Ciencias Sociais,81,1,Feminino,99,3,3,Executivo de Vendas,1,Solteiro,7637,2354,7,Não,3,4,80,0,28,3,2,21,16,7,9,64
36,Nao,viaja-raramente,1223,P & D,8,3,Formacao Tecnica,83,3,Feminino,59,3,3,Representante da Saude,3,Divorciado,10096,8202,1,Não,3,2,80,3,17,2,3,17,14,12,8,65
55,Nao,viaja-raramente,836,P & D,8,3,Medicina,84,4,Feminino,33,3,4,Gestor,3,Divorciado,14756,19730,2,Sim,3,3,80,3,21,2,3,5,0,0,2,66
36,Nao,viaja-frequentemente,1195,P & D,11,3,Ciencias Sociais,85,2,Masculino,95,2,2,Diretor de Manufatura,2,Solteiro,6499,22656,1,Não,3,3,80,0,6,3,3,6,5,0,3,67
45,Nao,viaja-raramente,1339,P & D,7,3,Ciencias Sociais,86,2,Masculino,59,3,3,Pesquisador,1,Divorciado,9724,18787,2,Não,3,3,80,1,25,2,3,1,0,0,0,68
35,Nao,viaja-frequentemente,664,P & D,1,3,Medicina,88,2,Masculino,79,3,1,Pesquisador,1,Casado,2194,5868,4,Não,3,4,80,1,5,2,2,3,2,1,2,69
36,Sim,viaja-raramente,318,P & D,9,3,Medicina,90,4,Masculino,79,2,1,Pesquisador,3,Casado,3388,21777,0,Sim,3,1,80,1,2,0,2,1,0,0,0,70
59,Nao,viaja-frequentemente,1225,Vendas,1,1,Ciencias Sociais,91,1,Feminino,57,2,2,Executivo de Vendas,3,Solteiro,5473,24668,7,Não,3,4,80,0,20,2,2,4,3,1,3,71
29,Nao,viaja-raramente,1328,P & D,2,3,Ciencias Sociais,94,3,Masculino,76,3,1,Pesquisador,2,Casado,2703,4956,0,Não,4,4,80,1,6,3,3,5,4,0,4,72
31,Nao,viaja-raramente,1082,P & D,1,4,Medicina,95,3,Masculino,87,3,1,Pesquisador,2,Solteiro,2501,18775,1,Não,3,2,80,0,1,4,3,1,1,1,0,73
32,Nao,viaja-raramente,548,P & D,1,3,Ciencias Sociais,96,2,Masculino,66,3,2,Pesquisador,2,Casado,6220,7346,1,Não,3,2,80,2,10,3,3,10,4,0,9,74
36,Nao,viaja-raramente,132,P & D,6,3,Ciencias Sociais,97,2,Feminino,55,4,1,Tecnico de Laboratorio,4,Casado,3038,22002,3,Não,3,2,80,0,5,3,3,1,0,0,0,75
31,Nao,viaja-raramente,746,P & D,8,4,Ciencias Sociais,98,3,Feminino,61,3,2,Diretor de Manufatura,4,Solteiro,4424,20682,1,Não,4,4,80,0,11,2,3,11,7,1,8,76
35,Nao,viaja-raramente,776,Vendas,1,4,Marketing,100,3,Masculino,32,2,2,Executivo de Vendas,1,Solteiro,4312,23016,0,Não,3,2,80,0,16,2,3,15,13,2,8,77
45,Nao,viaja-raramente,193,P & D,6,4,Outros,101,4,Masculino,52,3,3,Diretor de Pesquisa,1,Casado,13245,15067,4,Sim,3,2,80,0,17,3,4,0,0,0,0,78
37,Nao,viaja-raramente,397,P & D,7,4,Medicina,102,1,Masculino,30,3,3,Diretor de Pesquisa,3,Solteiro,13664,25258,4,Não,3,1,80,0,16,3,4,5,2,0,2,79
46,Nao,viaja-raramente,945,Recursos Humanos,5,2,Medicina,103,2,Masculino,80,3,2,Recursos Humanos,2,Divorciado,5021,10425,8,Sim,4,4,80,1,16,2,3,4,2,0,2,80
30,Nao,viaja-raramente,852,P & D,1,1,Ciencias Sociais,104,4,Masculino,55,2,2,Tecnico de Laboratorio,4,Casado,5126,15998,1,Sim,3,3,80,2,10,1,2,10,8,3,0,81
35,Nao,viaja-raramente,1214,P & D,1,3,Medicina,105,2,Masculino,30,2,1,Pesquisador,3,Solteiro,2859,26278,1,Não,3,1,80,0,6,3,3,6,4,0,4,82
55,Nao,viaja-raramente,111,Vendas,1,2,Ciencias Sociais,106,1,Masculino,70,3,3,Executivo de Vendas,4,Casado,10239,18092,3,Não,3,4,80,1,24,4,3,1,0,1,0,83
38,Nao,nao-viaja,573,P & D,6,3,Medicina,107,2,Feminino,79,1,2,Pesquisador,4,Divorciado,5329,15717,7,Sim,3,4,80,3,17,3,3,13,11,1,9,84
34,Nao,viaja-raramente,1153,P & D,1,2,Medicina,110,1,Masculino,94,3,2,Diretor de Manufatura,2,Casado,4325,17736,1,Não,3,3,80,0,5,2,3,5,2,1,3,85
56,Nao,viaja-raramente,1400,P & D,7,3,Ciencias Sociais,112,4,Masculino,49,1,3,Diretor de Manufatura,4,Solteiro,7260,21698,4,Não,3,1,80,0,37,3,2,6,4,0,2,86
23,Nao,viaja-raramente,541,Vendas,2,1,Formacao Tecnica,113,3,Masculino,62,3,1,Representante de Vendas,1,Divorciado,2322,9518,3,Não,3,3,80,1,3,3,3,0,0,0,0,87
51,Nao,viaja-raramente,432,P & D,9,4,Ciencias Sociais,116,4,Masculino,96,3,1,Tecnico de Laboratorio,4,Casado,2075,18725,3,Não,4,2,80,2,10,4,3,4,2,0,3,88
30,Nao,viaja-raramente,288,P & D,2,3,Ciencias Sociais,117,3,Masculino,99,2,2,Representante da Saude,4,Casado,4152,15830,1,Não,3,1,80,3,11,3,3,11,10,10,8,89
46,Sim,viaja-raramente,669,Vendas,9,2,Medicina,118,3,Masculino,64,2,3,Executivo de Vendas,4,Solteiro,9619,13596,1,Não,3,4,80,0,9,3,3,9,8,4,7,90
40,Nao,viaja-frequentemente,530,P & D,1,4,Ciencias Sociais,119,3,Masculino,78,2,4,Representante da Saude,2,Casado,13503,14115,1,Não,4,4,80,1,22,3,2,22,3,11,11,91
51,Nao,viaja-raramente,632,Vendas,21,4,Marketing,120,3,Masculino,71,3,2,Executivo de Vendas,4,Solteiro,5441,8423,0,Sim,4,4,80,0,11,2,1,10,7,1,0,92
30,Nao,viaja-raramente,1334,Vendas,4,2,Medicina,121,3,Feminino,63,2,2,Executivo de Vendas,2,Divorciado,5209,19760,1,Sim,3,2,80,3,11,4,2,11,8,2,7,93
46,Nao,viaja-frequentemente,638,P & D,1,3,Medicina,124,3,Masculino,40,2,3,Representante da Saude,1,Casado,10673,3142,2,Sim,3,3,80,1,21,5,2,10,9,9,5,94
32,Nao,viaja-raramente,1093,Vendas,6,4,Medicina,125,2,Masculino,87,3,2,Executivo de Vendas,3,Solteiro,5010,24301,1,Não,3,1,80,0,12,0,3,11,8,5,7,95
54,Nao,viaja-raramente,1217,P & D,2,4,Formacao Tecnica,126,1,Feminino,60,3,3,Diretor de Pesquisa,3,Casado,13549,24001,9,Não,3,1,80,1,16,5,1,4,3,0,3,96
24,Nao,viaja-raramente,1353,Vendas,3,2,Outros,128,1,Feminino,33,3,2,Executivo de Vendas,3,Casado,4999,17519,0,Não,4,1,80,1,4,2,2,3,2,0,2,97
28,Nao,nao-viaja,120,Vendas,4,3,Medicina,129,2,Masculino,43,3,2,Executivo de Vendas,3,Casado,4221,8863,1,Não,3,2,80,0,5,3,4,5,4,0,4,98
58,Nao,viaja-raramente,682,Vendas,10,4,Medicina,131,4,Masculino,37,3,4,Executivo de Vendas,3,Solteiro,13872,24409,0,Não,3,3,80,0,38,1,2,37,10,1,8,99
44,Nao,nao-viaja,489,P & D,23,3,Medicina,132,2,Masculino,67,3,2,Tecnico de Laboratorio,2,Casado,2042,25043,4,Não,3,3,80,1,17,3,4,3,2,1,2,100
37,Sim,viaja-raramente,807,Recursos Humanos,6,4,Recursos Humanos,133,3,Masculino,63,3,1,Recursos Humanos,1,Divorciado,2073,23648,4,Sim,4,4,80,0,7,3,3,3,2,0,2,101
32,Nao,viaja-raramente,827,P & D,1,1,Ciencias Sociais,134,4,Masculino,71,3,1,Pesquisador,1,Solteiro,2956,15178,1,Não,3,4,80,0,1,2,3,1,0,0,0,102
20,Sim,viaja-frequentemente,871,P & D,6,3,Ciencias Sociais,137,4,Feminino,66,2,1,Tecnico de Laboratorio,4,Solteiro,2926,19783,1,Sim,3,2,80,0,1,5,3,1,0,1,0,103
34,Nao,viaja-raramente,665,P & D,6,4,Outros,138,1,Feminino,41,3,2,Pesquisador,3,Solteiro,4809,12482,1,Não,3,3,80,0,16,3,3,16,13,2,10,104
37,Nao,nao-viaja,1040,P & D,2,2,Ciencias Sociais,139,3,Masculino,100,2,2,Representante da Saude,4,Divorciado,5163,15850,5,Não,3,4,80,1,17,2,4,1,0,0,0,105
59,Nao,nao-viaja,1420,Recursos Humanos,2,4,Recursos Humanos,140,3,Feminino,32,2,5,Gestor,4,Casado,18844,21922,9,Não,4,4,80,1,30,3,3,3,2,2,2,106
50,Nao,viaja-frequentemente,1115,P & D,1,3,Ciencias Sociais,141,1,Feminino,73,3,5,Diretor de Pesquisa,2,Casado,18172,9755,3,Sim,3,1,80,0,28,1,2,8,3,0,7,107
25,Sim,viaja-raramente,240,Vendas,5,3,Marketing,142,3,Masculino,46,2,2,Executivo de Vendas,3,Solteiro,5744,26959,1,Sim,3,4,80,0,6,1,3,6,4,0,3,108
25,Nao,viaja-raramente,1280,P & D,7,1,Medicina,143,4,Masculino,64,2,1,Pesquisador,4,Casado,2889,26897,1,Não,3,3,80,2,2,2,3,2,2,2,1,109
22,Nao,viaja-raramente,534,P & D,15,3,Medicina,144,2,Feminino,59,3,1,Tecnico de Laboratorio,4,Solteiro,2871,23785,1,Não,3,3,80,0,1,5,3,0,0,0,0,110
51,Nao,viaja-frequentemente,1456,P & D,1,4,Medicina,145,1,Feminino,30,2,3,Representante da Saude,1,Solteiro,7484,25796,3,Não,4,3,80,0,23,1,2,13,12,12,8,111
34,Sim,viaja-frequentemente,658,P & D,7,3,Ciencias Sociais,147,1,Masculino,66,1,2,Tecnico de Laboratorio,3,Solteiro,6074,22887,1,Sim,4,4,80,0,9,3,3,9,7,0,6,112
54,Nao,nao-viaja,142,Recursos Humanos,26,3,Recursos Humanos,148,4,Feminino,30,4,4,Gestor,4,Solteiro,17328,13871,2,Sim,3,3,80,0,23,3,3,5,3,4,4,113
24,Nao,viaja-raramente,1127,P & D,18,1,Ciencias Sociais,150,2,Masculino,52,3,1,Tecnico de Laboratorio,3,Casado,2774,13257,0,Não,3,3,80,1,6,2,3,5,3,1,2,114
34,Nao,viaja-raramente,1031,P & D,6,4,Ciencias Sociais,151,3,Feminino,45,2,2,Pesquisador,2,Divorciado,4505,15000,6,Não,3,3,80,1,12,3,3,1,0,0,0,115
37,Nao,viaja-raramente,1189,Vendas,3,3,Ciencias Sociais,152,3,Masculino,87,3,3,Executivo de Vendas,4,Solteiro,7428,14506,2,Não,3,1,80,0,12,3,3,5,3,1,3,116
34,Nao,viaja-raramente,1354,P & D,5,3,Medicina,153,3,Feminino,45,2,3,Gestor,1,Solteiro,11631,5615,2,Não,3,4,80,0,14,6,3,11,10,5,8,117
36,Nao,viaja-frequentemente,1467,Vendas,11,2,Formacao Tecnica,154,2,Feminino,92,3,3,Executivo de Vendas,4,Casado,9738,22952,0,Não,3,3,80,1,10,6,3,9,7,2,8,118
36,Nao,viaja-raramente,922,P & D,3,2,Ciencias Sociais,155,1,Feminino,39,3,1,Tecnico de Laboratorio,4,Divorciado,2835,2561,5,Não,4,1,80,1,7,2,3,1,0,0,0,119
43,Nao,viaja-frequentemente,394,Vendas,26,2,Ciencias Sociais,158,3,Masculino,92,3,4,Gestor,4,Casado,16959,19494,1,Sim,3,4,80,2,25,3,4,25,12,4,12,120
30,Nao,viaja-frequentemente,1312,P & D,23,3,Ciencias Sociais,159,1,Masculino,96,1,1,Pesquisador,3,Divorciado,2613,22310,1,Não,4,3,80,3,10,2,2,10,7,0,9,121
33,Nao,nao-viaja,750,Vendas,22,2,Marketing,160,3,Masculino,95,3,2,Executivo de Vendas,2,Casado,6146,15480,0,Não,3,1,80,1,8,2,4,7,7,0,7,122
56,Sim,viaja-raramente,441,P & D,14,4,Ciencias Sociais,161,2,Feminino,72,3,1,Pesquisador,2,Casado,4963,4510,9,Sim,3,1,80,3,7,2,3,5,4,4,3,123
51,Nao,viaja-raramente,684,P & D,6,3,Ciencias Sociais,162,1,Masculino,51,3,5,Diretor de Pesquisa,3,Solteiro,19537,6462,7,Não,3,3,80,0,23,5,3,20,18,15,15,124
31,Sim,viaja-raramente,249,Vendas,6,4,Ciencias Sociais,163,2,Masculino,76,1,2,Executivo de Vendas,3,Casado,6172,20739,4,Sim,3,2,80,0,12,3,2,7,7,7,7,125
26,Nao,viaja-raramente,841,P & D,6,3,Outros,164,3,Feminino,46,2,1,Pesquisador,2,Casado,2368,23300,1,Não,3,3,80,0,5,3,2,5,4,4,3,126
58,Sim,viaja-raramente,147,P & D,23,4,Medicina,165,4,Feminino,94,3,3,Representante da Saude,4,Casado,10312,3465,1,Não,3,4,80,1,40,3,2,40,10,15,6,127
19,Sim,viaja-raramente,528,Vendas,22,1,Marketing,167,4,Masculino,50,3,1,Representante de Vendas,3,Solteiro,1675,26820,1,Sim,3,4,80,0,0,2,2,0,0,0,0,128
22,Nao,viaja-raramente,594,P & D,2,1,Formacao Tecnica,169,3,Masculino,100,3,1,Tecnico de Laboratorio,4,Casado,2523,19299,0,Não,3,3,80,1,3,2,3,2,1,2,1,129
49,Nao,viaja-raramente,470,P & D,20,4,Medicina,170,3,Feminino,96,3,2,Diretor de Manufatura,1,Casado,6567,5549,1,Não,3,3,80,0,16,2,2,15,11,5,11,130
43,Nao,viaja-frequentemente,957,P & D,28,3,Medicina,171,2,Feminino,72,4,1,Pesquisador,3,Solteiro,4739,16090,4,Não,3,4,80,0,18,2,3,3,2,1,2,131
50,Nao,viaja-frequentemente,809,Vendas,12,3,Marketing,174,3,Feminino,77,3,3,Executivo de Vendas,4,Solteiro,9208,6645,4,Não,3,4,80,0,16,3,3,2,2,2,1,132
31,Sim,viaja-raramente,542,Vendas,20,3,Ciencias Sociais,175,2,Feminino,71,1,2,Executivo de Vendas,3,Casado,4559,24788,3,Sim,3,3,80,1,4,2,3,2,2,2,2,133
